ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.007313992993410244	329.92	9.177777777777777	35.77777777777778	24.622222222222224	0.033775842466578894	11	144	488	20.0	160.0	104.0	42	7.0	15.0	11.0	163	0	134.40664958953857	600	2144.348267555237	281	53.166666666666664	
-0.006684000481545714	326.36	8.45	28.475	19.525	0.033775842466578894	12	155	492	20.0	89.0	65.0	34	7.0	15.0	11.0	183	0	104.83391880989075	650	2249.1821863651276	299	54.0	
-0.0056039116519311614	245.52	8.048780487804878	24.341463414634145	16.609756097560975	0.033775842466578894	13	164	475	12.0	36.0	26.0	46	7.0	15.0	11.0	203	0	107.03542995452881	700	2356.2176163196564	318	54.57142857142857	
-0.005932209391455295	202.14	8.975609756097562	29.097560975609756	20.097560975609756	0.033775842466578894	14	173	468	17.0	83.0	59.0	41	7.0	15.0	11.0	222	0	110.0399580001831	750	2466.2575743198395	336	55.199999999999996	
-0.00673263792679031	187.94	8.560975609756097	30.024390243902438	20.658536585365855	0.033775842466578894	15	182	462	16.0	191.0	134.0	50	8.0	15.0	11.0	243	0	111.24138188362122	800	2577.4989562034607	356	55.5	
-0.005385634649124969	209.02	8.555555555555555	28.666666666666668	19.57777777777778	0.033775842466578894	16	187	455	20.0	125.0	86.0	38	7.0	15.0	11.0	260	0	123.22864961624146	850	2700.727605819702	380	55.29411764705882	
-0.002529009061906885	213.58	9.25	35.625	24.65	0.033775842466578894	17	197	467	20.0	168.0	115.0	39	7.0	15.0	11.0	281	0	112.67732429504395	900	2813.404930114746	397	55.888888888888886	
-0.006640441148794169	196.82	9.0	28.756756756756758	19.89189189189189	0.033775842466578894	18	210	455	20.0	137.0	95.0	3	8.0	15.0	11.0	295	0	102.48956203460693	950	2915.894492149353	416	56.21052631578947	
-0.0029804516044477686	218.64	8.266666666666667	25.57777777777778	17.622222222222224	0.033775842466578894	19	216	464	14.0	120.0	85.0	35	7.0	15.0	11.0	315	0	120.15324187278748	1000	3036.0477340221405	437	56.3	
-0.005810479219758097	209.84	8.527777777777779	26.52777777777778	18.25	0.033775842466578894	20	230	469	14.0	46.0	33.0	11	8.0	15.0	11.0	325	0	96.11984658241272	1050	3132.167580604553	459	56.285714285714285	
-0.006191516348580858	239.74	8.742857142857142	30.057142857142857	21.0	0.033775842466578894	21	245	475	17.0	242.0	169.0	50	8.0	15.0	11.0	339	0	92.01258587837219	1100	3224.1801664829254	478	56.54545454545455	
-0.00677797582305443	227.8	8.666666666666666	31.242424242424242	21.515151515151516	0.033775842466578894	22	262	462	17.0	157.0	109.0	2	7.0	15.0	11.0	351	0	89.29255533218384	1150	3313.4727218151093	494	57.04347826086957	
-0.004712381071231567	305.94	8.675	27.275	18.925	0.033775842466578894	23	273	500	15.0	135.0	90.0	42	7.0	15.0	11.0	375	0	100.8575987815857	1200	3414.330320596695	509	57.58333333333333	
-0.0065975250785230205	351.28	9.5	36.0	24.785714285714285	0.033775842466578894	24	282	479	18.0	94.0	67.0	42	7.0	15.0	11.0	398	0	110.23420143127441	1250	3524.5645220279694	527	57.84	
-0.005180157190059546	370.2	10.08108108108108	57.810810810810814	39.24324324324324	0.033775842466578894	25	295	493	18.0	243.0	165.0	58	8.0	15.0	11.0	406	0	109.5010678768158	1300	3634.065589904785	554	57.38461538461539	
-0.005492574671718929	360.36	9.583333333333334	43.0	29.36111111111111	0.08844686490957651	26	309	484	20.0	161.0	113.0	61	8.0	15.0	11.0	416	0	96.13400053977966	1350	3730.199590444565	578	57.18518518518518	
-0.0026183323532193675	398.06	9.052631578947368	44.05263157894737	29.736842105263158	0.08844686490957651	27	321	490	20.0	242.0	165.0	58	7.0	19.0	13.0	433	0	102.20280194282532	1400	3832.40239238739	599	57.214285714285715	
-0.004023549520813493	396.92	9.435897435897436	58.87179487179487	39.794871794871796	0.08844686490957651	28	333	484	17.0	353.0	245.0	65	7.0	15.0	11.0	443	0	107.10393524169922	1450	3939.5063276290894	626	56.827586206896555	
-0.0032256279975298877	409.88	9.411764705882353	43.529411764705884	29.441176470588236	0.08844686490957651	29	350	488	16.0	142.0	93.0	102	7.0	15.0	11.0	460	0	88.5995225906372	1500	4028.1058502197266	641	57.266666666666666	
-0.0032668465929409645	435.12	9.25	52.19444444444444	35.333333333333336	0.08844686490957651	30	364	500	17.0	210.0	150.0	377	8.0	15.0	11.0	478	0	97.87700724601746	1550	4125.982857465744	658	57.54838709677419	
-0.0040346345869259745	438.14	9.88888888888889	61.77777777777778	41.638888888888886	0.08844686490957651	31	379	496	16.0	185.0	124.0	343	8.0	15.0	11.0	484	0	98.84014987945557	1600	4224.8230073452	687	57.0625	
-0.0034206878983079466	450.24	9.814814814814815	61.55555555555556	41.629629629629626	0.08844686490957651	32	403	498	18.0	217.0	148.0	344	8.0	15.0	11.0	491	0	72.77329158782959	1650	4297.596298933029	706	57.21212121212121	
-0.004692949838606285	459.74	10.297297297297296	68.51351351351352	46.37837837837838	0.08844686490957651	33	416	500	20.0	231.0	158.0	344	8.0	15.0	11.0	498	0	105.11799693107605	1700	4402.714295864105	735	56.76470588235294	
